0b6e1f5efdbe	Sir Bart			
0b70c98ea1af	Ross Goodley	Image Works	Gravity	
0b723cf088ed	Frequent			
0b789afe5658	Roz			
0b7ae3f57c21	Djamm	EKO	Eko system	
0b860dcc8787	Iso			
0b869bf55d7c	Iso			
0b921bd912c3	Mike Clarke	System 3	Last Ninja 2	
0b9d5283f86a	Niko			
0ba1c436813b	Sir Bart			
0babc9966a69		Opium	Bug	
0bb543c8e805	Nightshade	The naughty bytes	Undercover Magascene Issue 03	
0bb67e821585	Alastair Lindsay	Atari~Imagitec Design	Defender 2000	
0bbfec38bc8a	Scy			
0bc0bc48eac8	Ripguy			
0bc66d2ae055	Djamm	EKO	H2o	
0bc6868e6f43	Charon	NATO	Monoscreen	
0bc8e2e4094c	Cerror			
0bdab66d8d50	Rhino	Torment	Music Disk #01	
0bdf87ee20b8	C-Frog			
0be6a718c28f	Ripguy			
0be9e375d6ae	Cerror			
0becec242e5c	Matt Furniss	Krisalis	Soccer Kid	
0c07ad2bd5cd	xlr8	The Chaos Engine	Erdung	
0c07b180b7b9	Tebirod			
0c0b557484c3	Tim Wright	Psygnosis	Shadow of the Beast 3	
0c1efb4b3153	Mr. Wrobel	Acid Team	Dragonnels demo	
0c25849c532d	AiO			
0c2adb30c04e	Raster (.pl)			
0c2cceb476b0	Thomas			
0c3247e35a38	Ian Howe	Atari Corp.	Pitfall: The Mayan Adventure	
0c328c45c1ef	Tebirod			
0c33f73f5743	Ripguy			
0c33fdc48fba	Walkman	Wild Boys	Digi-Synth 5 Demo	
0c34847cb75b	Tim Wright	Psygnosis	Shadow of the Beast 3	
0c373a0c1db6		Deus Ex Machina Software	Diamonds	
0c3c27e4929d	SH3	Reservoir Gods	Skyfall	
0c42e375f14d	505	Checkpoint~Escape	Modulation 1	
0c45e8d5c6d6	FFT			
0c4a4aa8bbb6	Antharion	Firste	Bugs in space	
0c52ef75ca25	Dr. Max			
0c56249f20d8	Vivid			
0c566289943b	Clawz			
0c588e707eea		The Corporation	The Corporation Megademo	
0c58fb3195e8	Lot			
0c66d15064b5				1998
0c672a5a89d0	Bliss~Dubmood			
0c67335039bb		Oxygene	Amiga Future Composer Player 1.4	
0c6ae5abf1b7	Zonk (.de)			
0c6c61022bb9	STAX			
0c796ad99a59	Groovemaster	Impulse	Just for your information	
0c7d4eb31efa	Toodeloo			
0c845feef7cf	Heatbeat	Wotan Extremist Group	Wotanoid	
0c8d745da59c	Frequent			
0c968b673202	Sir Bart			
0c96a5301e3c	Cerror			
0c96eaf13265	BB Fuck	No Limit Coding~The Storm Brothers	Toxic Mag Issue 07	
0c9c19864e91	AiO			
0c9d1905db4c	Zakk			
0c9f31a867e7	Dump			
0ca5b457b6f9	Philip Nixon	Micro Value	Demon Blue	
0cab77fedd57	Kane Wood			
0cb733ec50e1	Yerzmyey			
0cbb4899ae7b	Gash	New Power Generation	Music for the masses vol. III	
0cbe7fa521d8	Acid			
0cc433c2cf24	Pierre	NPG	NPG Megademo	
0cd745b45725	ST Mixes			
0cd961a7e51e	Fire	FUN Industries	Crazy Chippie Compile	
0ce429dcfa40				2012
0ce43f3f95c5	Ripguy	Federation against nature	Nature still suxx	
0ced8e69d104	Matt Bates	Activision	Deuteros	
0cef3efbd1c9	Latyl			
0cfaec2c4b06	Charon			
0cff7680a1aa	Djamm			
0d00892753d8	Shazz			
0d01bf2cbdd0	Scy			
0d045f2f1392	Skaven	Disk Busters Association	DBA Magazine Issue 14	
0d0b91c3acd0	Mixer	The Napalm Soldiers	ST-Muzak Disk #011 - Mixer special 2	
0d0dc07da8fd	Jess			
0d0fa6f945fa	Perkele			
0d1510538006	Simon			
